,Food_Code,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
"Mayonnaise, regular",83107000,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.02346,0,0,2.3713,0.53033,0.00673,0,98.946,1.63944
Miracle whip salad dressing,83110000,1,1,Tablespoon,1,0.5,0.5,0.03793,0,0,0,0,0,0,0,0,0.00956,0,0,1.05647,0.62975,2.9365,0,57.33,0.7203
Creamy dressing (ranch),83112500,1,1,Tablespoon,1,0.5,0.5,0,0,0.00191,0,0,0,0.00191,0,0,0,0,0,1.6497,2.80079,2.30093,0,71.442,1.12455
Sweet & sour dressing,83113000,1,1,Tablespoon,1,0.5,0.5,0,0,0.00265,0,0,0,0.00265,0,0,0,0,0,0,0,2.19585,0,2.34,0
Thousand island dressing,83114000,1,1,Tablespoon,1,0.5,0.5,0,0,0.01513,0,0,0,0.01529,0,0,0.0064,0,0,1.19142,0.71323,8.27628,0,57.72,0.79404
Low-calorie salad dressing,83200100,1,1,Tablespoon,1,0.5,0.5,0,0,0.00875,0,0,0,0.00875,0,0.00065,0.00081,0,0,0.3524,0.16767,4.98982,0,23.814,0.1296
Low-calorie mayonnaise,83204000,2,0.25,cup,0.25,0.25,1,0.40125,0,0,0,0,0,0,0.00313,0,0.00813,0,0,2.61528,0.79313,13.70415,0,145,2.0625
Fat-free Italian dressing,83205500,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0.00042,0.00168,0,0,0,0.02458,0.02898,1.71122,0,6.58,0.0406
Fat-free thousand island dressing,83207100,1,1,Tablespoon,1,0.5,0.5,0,0,0.02576,0,0,0,0.02592,0.00272,0,0,0,0,0.04764,0,9.77581,0,21.12,0.032
Fat-free ranch dressing,83210200,1,1,Tablespoon,1,0.5,0.5,0,0,0.01733,0,0,0,0.01733,0,0.01221,0,0,0,0,3.90703,3.13783,0,17.655,0.08085
White sugar (granulated or lump),91101010,1,1,teaspoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.254,0,16.254,0
Powdered sugar (confectioner's sugar),91101020,1,1,teaspoon,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48177,0,9.725,0.0005
Brown sugar,91102010,1,1,"teaspoon, packed",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14365,0,17.342,0
Calorie-free sweetener,91200000,1,1,individual packet,1,1,1,0.0295,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,1.408,0.00008
Chocolate sauce (thin type),91301080,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91196,36.08232,0,52.452,0.09776
Syrup (all types),91301250,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.00444,0,49.47393,0,53,0.004
Honey,91302010,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.84,0,63.84,0
Butterscotch sauce,91304010,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0.00424,0,0,0,0.00415,4.00298,58.96102,0,62.964,0.39856
Fudge sauce (thick type),91304020,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0.05229,0,0,0,0.33325,3.2319,41.41405,0,72.66,1.1844
Fruit topping,91304030,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0.03307,0,0,0,0,0.00226,0,51.02956,0,53.848,0.00212
Marshmallow topping,91304040,1,1,Tablespoon,1,0.5,0.5,0.13293,0,0,0,0,0,0,0,0,0,0,0,0,0,11.23941,0,19.964,0.00372
Nut topping (wet),91304060,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.4746,0,0,0.70044,0,40.93732,0,89.6,0.392
Nutella (chocolate hazelnut spread),91304090,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0.02728,0.09564,0,0,0.92683,1.62518,30.43651,0,83.855,0.83545
Chocolate icing,91305010,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0.00533,0,0,0,0,16.22149,48.59744,0,67.252,0.39388
White icing,91305020,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0.00537,0,0,0,0,18.74282,59.77764,0,80.396,0.40397
Dietetic syrup,91351010,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28488,0,6,0
Dietetic topping,91351020,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0.02499,0,0,0,0,0.00016,1.84415,1.46562,0,8.236,0.12212
Sweet and sour sauce (Vietnamese Sauce),91361010,1,2,Tablespoons,2,1,0.5,0.1314,0,0,0,0,0,0,0,0,0,0,0,0,0,20.18259,0,28.2,0.0003
Vanilla or rum dessert sauce,91361040,1,0.25,cup,0.25,0.25,1,0.14124,0,0,0,0,0,0,0,0,0,0,0,0,44.78166,43.32894,0,95.04,0.9306
Duck sauce,91361050,1,1,packet,1,1,1,0.0208,0,0,0,0,0,0,0.02413,0,0,0,0,0.00038,11.42536,4.23555,0,22.325,0.42275
Jelly,91401000,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0.02432,0,0,0,0,0,0,27.46698,0,50.54,0.0019
Jam or preserves,91402000,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0.03213,0,0,0,0,0,0,44.46558,0,54.6,0.0021
